Proteins,Gene Symbol,Molecular Weight,Protein Grouping Ambiguity,Total Spectrum Count_hFT1-1,Total Spectrum Count_hFT1-2,Total Spectrum Count_hFT1-3,Exclusive Spectrum Count_hFT1-1,Exclusive Spectrum Count_hFT1-2,Exclusive Spectrum Count_hFT1-3,Total Unique Spectrum Count_hFT1-1,Total Unique Spectrum Count_hFT1-2,Total Unique Spectrum Count_hFT1-3,Exclusive Unique Spectrum Count_hFT1-1,Exclusive Unique Spectrum Count_hFT1-2,Exclusive Unique Spectrum Count_hFT1-3,Total Unique Peptide Count_hFT1-1,Total Unique Peptide Count_hFT1-2,Total Unique Peptide Count_hFT1-3,Exclusive Unique Peptide Count_hFT1-1,Exclusive Unique Peptide Count_hFT1-2,Exclusive Unique Peptide Count_hFT1-3,Protein Identification Probability_hFT1-1,Protein Identification Probability_hFT1-2,Protein Identification Probability_hFT1-3,Percent Coverage_hFT1-1,Percent Coverage_hFT1-2,Percent Coverage_hFT1-3,Percentage of Total Spectra_hFT1-1,Percentage of Total Spectra_hFT1-2,Percentage of Total Spectra_hFT1-3
Elastin OS=Homo sapiens OX=9606 GN=ELN PE=1 SV=4,ELN,68 kDa,,6,6,7,6,6,7,4,5,4,4,5,4,4,4,4,4,4,4,100%,100%,100%,8.65%,10.60%,10.60%,0.01%,0.01%,0.01%
Echinoderm microtubule-associated protein-like 4 OS=Homo sapiens OX=9606 GN=EML4 PE=1 SV=3,EML4,109 kDa,,3,2,1,3,2,1,2,1,1,2,1,1,2,1,1,2,1,1,100%,99%,99%,2.65%,1.63%,1.63%,0.00%,0.00%,0.00%
Early endosome antigen 1 OS=Homo sapiens OX=9606 GN=EEA1 PE=1 SV=2,EEA1,162 kDa,,4,1,2,4,1,2,4,1,2,4,1,2,3,1,2,3,1,2,100%,99%,100%,2.55%,1.13%,1.84%,0.01%,0.00%,0.00%
EMILIN-1 OS=Homo sapiens OX=9606 GN=EMILIN1 PE=1 SV=3,EMILIN1,107 kDa,,74,56,52,74,56,52,45,30,27,45,30,27,22,16,15,22,16,15,100%,100%,100%,31.50%,22.50%,22.60%,0.11%,0.09%,0.08%
ELAV-like protein 1 OS=Homo sapiens OX=9606 GN=ELAVL1 PE=1 SV=2,ELAVL1,36 kDa,,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,100%,100%,100%,6.75%,6.75%,10.70%,0.00%,0.00%,0.00%
EH domain-containing protein 4 OS=Homo sapiens OX=9606 GN=EHD4 PE=1 SV=1,EHD4,61 kDa,TRUE,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,100%,96%,0,5.18%,2.40%,0,0.00%,0.00%,0
EH domain-containing protein 2 OS=Homo sapiens OX=9606 GN=EHD2 PE=1 SV=2,EHD2,61 kDa,TRUE,6,8,7,6,8,7,4,5,5,4,5,5,2,3,3,2,3,3,100%,100%,100%,5.16%,5.16%,5.16%,0.01%,0.01%,0.01%
EH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=EHD1 PE=1 SV=2,EHD1,61 kDa,TRUE,3,2,1,3,2,1,2,2,1,2,2,1,2,2,1,2,2,1,100%,100%,99%,5.43%,5.43%,2.06%,0.00%,0.00%,0.00%
EGF-containing fibulin-like extracellular matrix protein 1 OS=Homo sapiens OX=9606 GN=EFEMP1 PE=1 SV=2,EFEMP1,55 kDa,,43,28,25,43,28,25,22,16,14,22,16,14,13,9,10,13,9,10,100%,100%,100%,40.40%,25.80%,30.40%,0.06%,0.04%,0.04%
E3 ubiquitin/ISG15 ligase TRIM25 OS=Homo sapiens OX=9606 GN=TRIM25 PE=1 SV=2,TRIM25,71 kDa,,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,100%,0,99%,4.29%,0,3.02%,0.00%,0,0.00%
RanBP2-like and GRIP domain-containing protein 3 OS=Homo sapiens OX=9606 GN=RGPD3 PE=3 SV=2,RGPD3,197 kDa,TRUE,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,17%,9%,16%,0.74%,0.00%,0.00%,0.00%,0.00%,0.00%
Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=3,DMD,427 kDa,,7,3,5,7,3,5,7,3,5,7,3,5,6,3,4,6,3,4,100%,100%,100%,2.55%,1.19%,1.49%,0.01%,0.00%,0.01%
Dynactin subunit 2 OS=Homo sapiens OX=9606 GN=DCTN2 PE=1 SV=4,DCTN2,44 kDa,,2,2,1,2,2,1,2,1,1,2,1,1,2,1,1,2,1,1,100%,88%,88%,12.70%,2.24%,2.24%,0.00%,0.00%,0.00%
Dynactin subunit 1 OS=Homo sapiens OX=9606 GN=DCTN1 PE=1 SV=3,DCTN1,142 kDa,,3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,100%,100%,100%,2.90%,2.35%,3.29%,0.00%,0.00%,0.00%
Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4,DBN1,71 kDa,,3,1,0,3,1,0,2,1,0,2,1,0,2,1,0,2,1,0,100%,99%,9%,8.32%,5.55%,0.00%,0.00%,0.00%,0.00%
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Homo sapiens OX=9606 GN=RPN2 PE=1 SV=3,RPN2,69 kDa,,13,6,6,13,6,6,8,3,3,8,3,3,5,2,2,5,2,2,100%,100%,100%,15.40%,6.50%,6.50%,0.02%,0.01%,0.01%
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens OX=9606 GN=RPN1 PE=1 SV=1,RPN1,69 kDa,,11,13,12,11,13,12,8,8,7,8,8,7,7,7,7,7,7,7,100%,100%,100%,13.00%,12.50%,12.50%,0.02%,0.02%,0.02%
Dihydropyrimidinase-related protein 3 OS=Homo sapiens OX=9606 GN=DPYSL3 PE=1 SV=1,DPYSL3,62 kDa,TRUE,109,98,93,102,93,88,35,32,33,31,28,30,18,18,17,16,16,15,100%,100%,100%,47.70%,40.00%,35.10%,0.16%,0.15%,0.15%
"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DLST PE=1 SV=4",DLST,49 kDa,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,100%,100%,100%,4.86%,4.86%,4.86%,0.00%,0.00%,0.00%
Dermatopontin OS=Homo sapiens OX=9606 GN=DPT PE=1 SV=2,DPT,24 kDa,,4,1,3,4,1,3,4,1,1,4,1,1,2,1,1,2,1,1,100%,99%,99%,13.90%,5.47%,5.47%,0.01%,0.00%,0.00%
Delta-sarcoglycan OS=Homo sapiens OX=9606 GN=SGCD PE=1 SV=2,SGCD,32 kDa,,10,9,9,10,9,9,4,5,6,4,5,6,4,4,4,4,4,4,100%,100%,100%,16.30%,16.30%,16.30%,0.02%,0.01%,0.01%
Decorin OS=Homo sapiens OX=9606 GN=DCN PE=1 SV=1,DCN,40 kDa,,75,63,62,75,63,62,20,18,18,20,18,18,9,8,8,9,8,8,100%,100%,100%,32.30%,25.60%,25.60%,0.11%,0.10%,0.10%
Death domain-associated protein 6 OS=Homo sapiens OX=9606 GN=DAXX PE=1 SV=2,DAXX,81 kDa,,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,90%,100%,99%,1.08%,3.24%,1.08%,0.00%,0.00%,0.00%
DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3,PRKDC,469 kDa,,7,3,3,7,3,3,7,3,3,7,3,3,6,2,2,6,2,2,100%,100%,100%,2.11%,0.53%,0.78%,0.01%,0.00%,0.00%
D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=4,PHGDH,57 kDa,,9,4,4,9,4,4,8,3,3,8,3,3,6,3,2,6,3,2,100%,100%,100%,17.10%,8.44%,4.88%,0.01%,0.01%,0.01%
Cytosolic non-specific dipeptidase OS=Homo sapiens OX=9606 GN=CNDP2 PE=1 SV=2,CNDP2,53 kDa,,9,6,5,9,6,5,5,4,3,5,4,3,5,4,3,5,4,3,100%,100%,100%,14.50%,10.70%,8.00%,0.01%,0.01%,0.01%
Cytosol aminopeptidase OS=Homo sapiens OX=9606 GN=LAP3 PE=1 SV=3,LAP3,56 kDa,,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,100%,100%,100%,9.25%,2.89%,5.20%,0.00%,0.00%,0.00%
Cytoskeleton-associated protein 4 OS=Homo sapiens OX=9606 GN=CKAP4 PE=1 SV=2,CKAP4,66 kDa,TRUE,45,37,39,45,37,39,29,21,24,29,21,24,18,16,17,18,16,17,100%,100%,100%,38.20%,37.20%,36.00%,0.07%,0.06%,0.06%
Cytoplasmic dynein 1 light intermediate chain 2 OS=Homo sapiens OX=9606 GN=DYNC1LI2 PE=1 SV=1,DYNC1LI2,54 kDa,,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,100%,99%,100%,5.08%,2.64%,2.64%,0.00%,0.00%,0.00%
Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5,DYNC1H1,532 kDa,,26,19,15,26,19,15,20,14,11,20,14,11,19,14,11,19,14,11,100%,100%,100%,5.73%,3.70%,3.19%,0.04%,0.03%,0.02%
Cytoplasmic FMR1-interacting protein 2 OS=Homo sapiens OX=9606 GN=CYFIP2 PE=1 SV=2,CYFIP2,148 kDa,TRUE,1,1,2,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,19%,17%,8%,0.86%,0.86%,0.86%,0.00%,0.00%,0.00%
Cysteine-rich protein 2 OS=Homo sapiens OX=9606 GN=CRIP2 PE=1 SV=1,CRIP2,22 kDa,,6,5,6,6,5,6,4,5,4,4,5,4,4,2,3,4,2,3,100%,100%,100%,32.20%,24.50%,24.50%,0.01%,0.01%,0.01%
Cysteine and glycine-rich protein 2 OS=Homo sapiens OX=9606 GN=CSRP2 PE=1 SV=3,CSRP2,21 kDa,,4,2,1,4,2,1,4,1,1,4,1,1,4,1,1,4,1,1,100%,99%,95%,33.20%,7.77%,7.77%,0.01%,0.00%,0.00%
Cysteine and glycine-rich protein 1 OS=Homo sapiens OX=9606 GN=CSRP1 PE=1 SV=3,CSRP1,21 kDa,,38,40,39,38,40,39,16,16,18,16,16,18,9,9,9,9,9,9,100%,100%,100%,50.80%,59.60%,59.60%,0.06%,0.06%,0.06%
Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens OX=9606 GN=CAND1 PE=1 SV=2,CAND1,136 kDa,,7,10,7,7,10,7,3,4,3,3,4,3,3,4,3,3,4,3,100%,100%,100%,3.01%,4.23%,3.41%,0.01%,0.02%,0.01%
Creatine kinase B-type OS=Homo sapiens OX=9606 GN=CKB PE=1 SV=1,CKB,43 kDa,,11,9,11,11,9,11,6,5,6,6,5,6,6,5,5,6,5,5,100%,100%,100%,19.40%,19.20%,19.20%,0.02%,0.01%,0.02%
Coronin-6 OS=Homo sapiens OX=9606 GN=CORO6 PE=1 SV=2,CORO6,53 kDa,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coronin-1B OS=Homo sapiens OX=9606 GN=CORO1B PE=1 SV=1,CORO1B,54 kDa,,5,2,4,5,2,4,2,1,2,2,1,2,2,1,2,2,1,2,100%,99%,100%,4.70%,2.04%,4.70%,0.01%,0.00%,0.01%
Coronin-1A OS=Homo sapiens OX=9606 GN=CORO1A PE=1 SV=4,CORO1A,51 kDa,,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,100%,99%,99%,5.64%,2.17%,2.17%,0.00%,0.00%,0.00%
Core histone macro-H2A.2 OS=Homo sapiens OX=9606 GN=H2AFY2 PE=1 SV=3,H2AFY2,40 kDa,TRUE,15,15,16,10,8,10,6,5,5,5,4,4,4,4,4,3,3,3,100%,100%,100%,14.20%,14.20%,14.20%,0.02%,0.02%,0.03%
Core histone macro-H2A.1 OS=Homo sapiens OX=9606 GN=H2AFY PE=1 SV=4,H2AFY,40 kDa,TRUE,23,14,17,18,7,11,7,6,6,6,5,5,5,4,5,4,3,4,100%,100%,100%,22.00%,16.70%,22.00%,0.03%,0.02%,0.03%
Copine-3 OS=Homo sapiens OX=9606 GN=CPNE3 PE=1 SV=1,CPNE3,60 kDa,,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,100%,99%,0,6.70%,2.23%,0,0.00%,0.00%,0
Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens OX=9606 GN=FAM120A PE=1 SV=2,FAM120A,122 kDa,,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,100%,16%,99%,1.97%,0.00%,1.16%,0.00%,0.00%,0.00%
Complement factor H OS=Homo sapiens OX=9606 GN=CFH PE=1 SV=4,CFH,139 kDa,,30,23,25,30,23,25,23,16,18,23,16,18,16,12,16,16,12,16,100%,100%,100%,17.90%,12.80%,17.50%,0.04%,0.04%,0.04%
Complement factor B OS=Homo sapiens OX=9606 GN=CFB PE=1 SV=2,CFB,86 kDa,,12,6,5,12,6,5,8,4,3,8,4,3,7,3,3,7,3,3,100%,100%,100%,10.90%,4.71%,4.06%,0.02%,0.01%,0.01%
Complement C5 OS=Homo sapiens OX=9606 GN=C5 PE=1 SV=4,C5,188 kDa,,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,100%,100%,100%,2.74%,1.49%,1.43%,0.01%,0.00%,0.00%
Complement C4-B OS=Homo sapiens OX=9606 GN=C4B PE=1 SV=2,C4B,193 kDa,TRUE,27,17,19,0,0,0,15,11,9,0,0,0,14,8,8,0,0,0,99%,93%,93%,11.80%,6.54%,6.31%,0.04%,0.03%,0.03%
Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2,C3,187 kDa,,108,70,67,108,70,67,54,28,28,54,28,28,36,20,20,36,20,20,100%,100%,100%,28.40%,16.40%,18.40%,0.16%,0.11%,0.11%
Collagen alpha-5(IV) chain OS=Homo sapiens OX=9606 GN=COL4A5 PE=1 SV=2,COL4A5,161 kDa,TRUE,5,7,6,0,0,0,4,4,4,0,0,0,2,2,2,0,0,0,95%,91%,92%,1.42%,1.42%,1.42%,0.01%,0.01%,0.01%
Collagen alpha-3(VI) chain OS=Homo sapiens OX=9606 GN=COL6A3 PE=1 SV=5,COL6A3,344 kDa,,467,429,413,467,429,413,166,138,128,166,138,128,87,77,78,87,77,78,100%,100%,100%,30.80%,27.60%,28.40%,0.68%,0.66%,0.65%
Collagen alpha-2(VI) chain OS=Homo sapiens OX=9606 GN=COL6A2 PE=1 SV=4,COL6A2,109 kDa,,128,118,124,128,118,124,40,30,33,40,30,33,13,11,13,13,11,13,100%,100%,100%,17.90%,14.80%,18.90%,0.19%,0.18%,0.20%
Collagen alpha-2(V) chain OS=Homo sapiens OX=9606 GN=COL5A2 PE=1 SV=3,COL5A2,145 kDa,,2,3,4,2,3,4,2,2,3,2,2,3,2,1,2,2,1,2,100%,100%,100%,2.54%,1.07%,2.40%,0.00%,0.00%,0.01%
Collagen alpha-2(IV) chain OS=Homo sapiens OX=9606 GN=COL4A2 PE=1 SV=4,COL4A2,168 kDa,,77,73,70,77,73,70,39,33,32,39,33,32,16,18,18,16,18,18,100%,100%,100%,16.70%,18.80%,17.30%,0.11%,0.11%,0.11%
Collagen alpha-2(I) chain OS=Homo sapiens OX=9606 GN=COL1A2 PE=1 SV=7,COL1A2,129 kDa,,415,357,362,415,357,362,183,144,154,183,144,154,65,55,55,65,55,55,100%,100%,100%,64.50%,62.80%,62.60%,0.61%,0.55%,0.57%
Collagen alpha-1(XVIII) chain OS=Homo sapiens OX=9606 GN=COL18A1 PE=1 SV=5,COL18A1,178 kDa,,21,18,21,21,18,21,11,7,9,11,7,9,7,6,7,7,6,7,100%,100%,100%,7.01%,6.21%,7.35%,0.03%,0.03%,0.03%
Collagen alpha-1(XVI) chain OS=Homo sapiens OX=9606 GN=COL16A1 PE=1 SV=2,COL16A1,158 kDa,TRUE,9,6,9,9,6,9,7,5,7,7,5,7,5,4,6,5,4,6,100%,100%,100%,5.99%,5.55%,7.86%,0.01%,0.01%,0.01%
Collagen alpha-1(XV) chain OS=Homo sapiens OX=9606 GN=COL15A1 PE=1 SV=2,COL15A1,142 kDa,,1,3,1,1,3,1,1,2,1,1,2,1,1,2,1,1,2,1,100%,100%,100%,0.72%,1.95%,1.22%,0.00%,0.00%,0.00%
Collagen alpha-1(XIV) chain OS=Homo sapiens OX=9606 GN=COL14A1 PE=1 SV=3,COL14A1,194 kDa,,189,173,168,189,173,168,71,56,61,71,56,61,40,31,34,40,31,34,100%,100%,100%,33.40%,26.30%,28.70%,0.28%,0.27%,0.27%
Collagen alpha-1(XII) chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=2,COL12A1,333 kDa,,154,129,122,154,129,122,80,63,65,80,63,65,51,46,44,51,46,44,100%,100%,100%,24.20%,21.40%,20.30%,0.23%,0.20%,0.19%
Collagen alpha-1(VI) chain OS=Homo sapiens OX=9606 GN=COL6A1 PE=1 SV=3,COL6A1,109 kDa,,166,133,140,166,133,140,50,38,41,50,38,41,23,21,20,23,21,20,100%,100%,100%,26.70%,25.70%,23.80%,0.24%,0.21%,0.22%
Collagen alpha-1(V) chain OS=Homo sapiens OX=9606 GN=COL5A1 PE=1 SV=3,COL5A1,184 kDa,TRUE,3,1,1,1,0,0,2,1,1,1,0,0,2,1,1,1,0,0,100%,98%,99%,1.69%,0.65%,0.65%,0.00%,0.00%,0.00%
Collagen alpha-1(IV) chain OS=Homo sapiens OX=9606 GN=COL4A1 PE=1 SV=4,COL4A1,161 kDa,TRUE,40,44,43,35,37,37,21,20,20,17,16,16,9,9,9,7,7,7,100%,100%,100%,8.87%,8.87%,8.87%,0.06%,0.07%,0.07%
Collagen alpha-1(III) chain OS=Homo sapiens OX=9606 GN=COL3A1 PE=1 SV=4,COL3A1,139 kDa,TRUE,190,157,148,181,148,139,111,81,81,107,76,76,44,38,37,43,37,36,100%,100%,100%,49.80%,49.70%,46.10%,0.28%,0.24%,0.23%
Collagen alpha-1(II) chain OS=Homo sapiens OX=9606 GN=COL2A1 PE=1 SV=3,COL2A1,142 kDa,TRUE,47,42,42,6,6,6,11,12,11,3,3,2,5,4,4,3,2,2,100%,100%,100%,5.31%,4.30%,4.30%,0.07%,0.07%,0.07%
Collagen alpha-1(I) chain OS=Homo sapiens OX=9606 GN=COL1A1 PE=1 SV=5,COL1A1,139 kDa,TRUE,616,532,534,584,504,507,262,205,219,258,201,215,78,68,69,77,67,68,100%,100%,100%,63.60%,61.80%,63.60%,0.90%,0.82%,0.84%
Cofilin-2 OS=Homo sapiens OX=9606 GN=CFL2 PE=1 SV=1,CFL2,19 kDa,TRUE,6,4,5,2,0,0,3,2,1,2,0,0,2,1,1,1,0,0,99%,8%,8%,18.70%,6.63%,6.63%,0.01%,0.01%,0.01%
Coatomer subunit gamma-1 OS=Homo sapiens OX=9606 GN=COPG1 PE=1 SV=1,COPG1,98 kDa,TRUE,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,100%,100%,100%,6.64%,6.86%,4.92%,0.01%,0.01%,0.00%
Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 PE=1 SV=1,ARCN1,57 kDa,,4,3,2,4,3,2,4,3,2,4,3,2,4,3,2,4,3,2,100%,100%,100%,8.41%,6.65%,4.31%,0.01%,0.00%,0.00%
Coatomer subunit beta' OS=Homo sapiens OX=9606 GN=COPB2 PE=1 SV=2,COPB2,102 kDa,,7,6,6,7,6,6,4,4,3,4,4,3,3,3,3,3,3,3,100%,100%,100%,5.19%,5.74%,5.74%,0.01%,0.01%,0.01%
Coatomer subunit beta OS=Homo sapiens OX=9606 GN=COPB1 PE=1 SV=3,COPB1,107 kDa,,2,3,1,2,3,1,1,2,1,1,2,1,1,2,1,1,2,1,99%,100%,100%,1.47%,3.36%,1.47%,0.00%,0.00%,0.00%
Coatomer subunit alpha OS=Homo sapiens OX=9606 GN=COPA PE=1 SV=2,COPA,138 kDa,,9,4,8,9,4,8,7,4,5,7,4,5,7,4,5,7,4,5,100%,100%,100%,8.09%,4.41%,5.47%,0.01%,0.01%,0.01%
Coagulation factor XIII A chain OS=Homo sapiens OX=9606 GN=F13A1 PE=1 SV=4,F13A1,83 kDa,,15,14,11,15,14,11,6,4,5,6,4,5,4,3,2,4,3,2,100%,100%,100%,9.43%,7.10%,5.60%,0.02%,0.02%,0.02%
Clusterin OS=Homo sapiens OX=9606 GN=CLU PE=1 SV=1,CLU,52 kDa,,4,5,3,4,5,3,3,4,2,3,4,2,3,3,2,3,3,2,100%,100%,100%,7.80%,9.13%,6.68%,0.01%,0.01%,0.00%
Clathrin light chain B OS=Homo sapiens OX=9606 GN=CLTB PE=1 SV=1,CLTB,25 kDa,,5,4,4,5,4,4,4,4,2,4,4,2,2,2,2,2,2,2,100%,100%,100%,10.00%,10.00%,10.00%,0.01%,0.01%,0.01%
Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5,CLTC,192 kDa,TRUE,38,29,26,38,29,26,25,20,16,25,20,16,18,14,13,18,14,13,100%,100%,100%,15.20%,11.30%,11.30%,0.06%,0.05%,0.04%
Ceruloplasmin OS=Homo sapiens OX=9606 GN=CP PE=1 SV=1,CP,122 kDa,,26,23,22,26,23,22,15,12,14,15,12,14,9,11,10,9,11,10,100%,100%,100%,13.50%,17.20%,15.20%,0.04%,0.04%,0.04%
Cell surface glycoprotein MUC18 OS=Homo sapiens OX=9606 GN=MCAM PE=1 SV=2,MCAM,72 kDa,,9,9,11,9,9,11,7,7,6,7,7,6,5,5,5,5,5,5,100%,100%,100%,12.10%,12.10%,12.10%,0.01%,0.01%,0.02%
Cell cycle and apoptosis regulator protein 2 OS=Homo sapiens OX=9606 GN=CCAR2 PE=1 SV=2,CCAR2,103 kDa,,3,2,1,3,2,1,2,2,1,2,2,1,2,2,1,2,2,1,100%,100%,100%,4.33%,2.82%,1.63%,0.00%,0.00%,0.00%
Caveolin-1 OS=Homo sapiens OX=9606 GN=CAV1 PE=1 SV=4,CAV1,20 kDa,,13,12,11,13,12,11,6,3,4,6,3,4,4,2,2,4,2,2,100%,100%,100%,23.00%,13.50%,13.50%,0.02%,0.02%,0.02%
Caveolae-associated protein 3 OS=Homo sapiens OX=9606 GN=CAVIN3 PE=1 SV=3,CAVIN3,28 kDa,,5,5,5,5,5,5,5,3,3,5,3,3,3,2,2,3,2,2,100%,100%,100%,15.70%,11.50%,11.50%,0.01%,0.01%,0.01%
Caveolae-associated protein 2 OS=Homo sapiens OX=9606 GN=CAVIN2 PE=1 SV=3,CAVIN2,47 kDa,,15,7,10,15,7,10,9,4,4,9,4,4,6,3,3,6,3,3,100%,100%,100%,25.20%,8.24%,8.24%,0.02%,0.01%,0.02%
Caveolae-associated protein 1 OS=Homo sapiens OX=9606 GN=CAVIN1 PE=1 SV=1,CAVIN1,43 kDa,,78,67,73,78,67,73,27,15,20,27,15,20,11,9,10,11,9,10,100%,100%,100%,33.30%,30.80%,33.10%,0.11%,0.10%,0.12%
Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1,CTSD,45 kDa,,3,3,2,3,3,2,2,2,1,2,2,1,2,2,1,2,2,1,100%,100%,100%,4.61%,4.61%,2.43%,0.00%,0.00%,0.00%
Catenin beta-1 OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1,CTNNB1,85 kDa,,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,99%,99%,100%,1.54%,1.54%,3.59%,0.00%,0.00%,0.00%
Catenin alpha-1 OS=Homo sapiens OX=9606 GN=CTNNA1 PE=1 SV=1,CTNNA1,100 kDa,,4,1,7,4,1,7,3,1,4,3,1,4,1,1,2,1,1,2,100%,100%,100%,1.43%,1.43%,2.87%,0.01%,0.00%,0.01%
Carbonyl reductase [NADPH] 1 OS=Homo sapiens OX=9606 GN=CBR1 PE=1 SV=3,CBR1,30 kDa,,4,3,3,4,3,3,4,2,3,4,2,3,4,2,2,4,2,2,100%,100%,100%,18.10%,9.75%,9.75%,0.01%,0.00%,0.00%
Carbonic anhydrase 1 OS=Homo sapiens OX=9606 GN=CA1 PE=1 SV=2,CA1,29 kDa,,7,3,3,7,3,3,5,3,3,5,3,3,3,2,2,3,2,2,100%,100%,100%,18.40%,13.00%,13.00%,0.01%,0.00%,0.00%
Calumenin OS=Homo sapiens OX=9606 GN=CALU PE=1 SV=2,CALU,37 kDa,,2,2,3,2,2,3,1,2,2,1,2,2,1,2,2,1,2,2,99%,100%,100%,5.08%,9.84%,9.84%,0.00%,0.00%,0.00%
Calreticulin OS=Homo sapiens OX=9606 GN=CALR PE=1 SV=1,CALR,48 kDa,,20,9,8,20,9,8,5,5,4,5,5,4,3,3,2,3,3,2,100%,100%,100%,11.80%,11.80%,8.15%,0.03%,0.01%,0.01%
Calponin-3 OS=Homo sapiens OX=9606 GN=CNN3 PE=1 SV=1,CNN3,36 kDa,TRUE,5,4,4,4,4,4,4,3,3,3,3,3,4,2,2,3,2,2,100%,100%,100%,16.10%,10.00%,10.00%,0.01%,0.01%,0.01%
Calponin-2 OS=Homo sapiens OX=9606 GN=CNN2 PE=1 SV=4,CNN2,34 kDa,TRUE,7,5,7,6,5,7,5,2,3,4,2,3,3,2,2,2,2,2,100%,100%,100%,11.70%,8.09%,8.09%,0.01%,0.01%,0.01%
Calponin-1 OS=Homo sapiens OX=9606 GN=CNN1 PE=1 SV=2,CNN1,33 kDa,,29,26,24,29,26,24,15,9,9,15,9,9,9,7,7,9,7,7,100%,100%,100%,33.30%,28.60%,28.60%,0.04%,0.04%,0.04%
Calpastatin OS=Homo sapiens OX=9606 GN=CAST PE=1 SV=4,CAST,77 kDa,,4,3,3,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,100%,100%,100%,4.38%,4.38%,4.38%,0.01%,0.00%,0.00%
Calpain-2 catalytic subunit OS=Homo sapiens OX=9606 GN=CAPN2 PE=1 SV=6,CAPN2,80 kDa,,4,2,3,4,2,3,3,2,2,3,2,2,2,2,2,2,2,2,100%,100%,100%,5.14%,5.14%,5.14%,0.01%,0.00%,0.00%
Calpain-1 catalytic subunit OS=Homo sapiens OX=9606 GN=CAPN1 PE=1 SV=1,CAPN1,82 kDa,,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,100%,100%,100%,3.78%,3.78%,3.78%,0.01%,0.01%,0.00%
Calnexin OS=Homo sapiens OX=9606 GN=CANX PE=1 SV=2,CANX,68 kDa,,7,1,3,7,1,3,4,1,1,4,1,1,4,1,1,4,1,1,100%,100%,99%,7.09%,2.70%,2.70%,0.01%,0.00%,0.00%
Calmodulin-1 OS=Homo sapiens OX=9606 GN=CALM1 PE=1 SV=1,CALM1,17 kDa,,23,22,26,23,22,26,10,10,11,10,10,11,5,5,5,5,5,5,100%,100%,100%,30.90%,30.90%,30.90%,0.03%,0.03%,0.04%
Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=3,CALD1,93 kDa,,153,137,135,153,137,135,72,55,54,72,55,54,33,27,29,33,27,29,100%,100%,100%,36.60%,32.80%,34.60%,0.22%,0.21%,0.21%
C-type mannose receptor 2 OS=Homo sapiens OX=9606 GN=MRC2 PE=1 SV=2,MRC2,167 kDa,,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,100%,100%,98%,2.57%,0.74%,1.69%,0.00%,0.00%,0.00%
